des,count,arr_delay
ABE,2455,5.357230143
ABI,2418,3.851943755
ABQ,20764,5.267241379
ABR,728,-3.243131868
ABY,951,8.539432177
ACK,514,5.023346304
ACT,1682,9.576099881
ACV,1385,9.652707581
ACY,3776,11.28813559
ADK,98,-4.346938776
ADQ,465,-0.591397849
AEX,3333,6.225322532
AGS,2347,6.368129527
AKN,63,2.380952381
ALB,8074,5.847039881
ALO,641,4.742589704
AMA,4374,6.315500686
ANC,17041,1.628014788
APN,599,0.933222037
ASE,3260,15.82944785
ATL,375622,1.840850642
ATW,3022,3.281932495
AUS,41445,6.717987695
AVL,2967,6.567913718
AVP,1325,9.797735849
AZO,1863,0.530327429
BDL,20113,5.978968826
BET,963,2.458982347
BFL,2770,4.997833935
BGM,258,4.213178295
BGR,389,2.619537275
BHM,13450,5.252788104
BIL,3115,1.194542536
BIS,3742,4.034206307
BJI,727,-1.741403026
BLI,703,-6.80227596
BMI,2631,7.235651843
BNA,50936,3.873959479
BOI,11529,5.956457629
BOS,105052,6.250618741
BPT,915,14.63169399
BQK,953,6.036726128
BQN,1328,12.19277108
BRD,636,-3.849056604
BRO,2266,4.471315093
BRW,819,4.058608059
BTM,701,-4.109843081
BTR,6993,9.055770056
BTV,3251,8.385727468
BUF,18094,4.886481707
BUR,18571,4.592321361
BWI,84272,3.602833681
BZN,3564,2.716891134
CAE,5462,8.798242402
CAK,6475,4.787644788
CDC,623,6.972712681
CDV,654,0.888379205
CEC,175,4.28
CHA,4135,6.227811366
CHO,2111,10.73235433
CHS,11594,4.037001898
CID,7142,6.763651638
CIU,653,4.736600306
CLD,626,4.39456869
CLE,33833,4.571276564
CLL,2198,1.60600546
CLT,108365,1.72342546
CMH,25826,4.563772942
CMI,2001,3.663168416
CMX,674,3.488130564
CNY,205,-11.57560976
COD,674,3.918397626
COS,7348,9.644529124
COU,1377,9.338416848
CPR,1747,-0.833428735
CRP,5071,8.797278643
CRW,2543,7.338969721
CSG,1059,8.419263456
CVG,21466,5.523898258
CWA,1504,7.169547872
DAB,1608,1.422885572
DAL,64428,3.850375613
DAY,8383,5.633424788
DBQ,953,2.547743966
DCA,78365,3.62141262
DEN,211098,4.575926821
DFW,252225,5.349057389
DHN,1360,5.049264706
DIK,914,-2.845733042
DLG,77,-4.194805195
DLH,1882,3.904888417
DRO,2015,1.683870968
DSM,8827,6.648918092
DTW,106969,3.712412007
DVL,523,-1.48374761
EAU,698,6.58739255
ECP,4516,2.600752879
EGE,1201,10.11990008
EKO,571,1.292469352
ELM,2201,7.103134939
ELP,12882,6.85770843
ERI,707,5.735502122
ESC,603,0.4013267
EUG,3561,4.606852008
EVV,4113,1.937758327
EWN,564,8.274822695
EWR,107762,6.991453388
EYW,2099,4.7527394
FAI,2339,2.009833262
FAR,6111,5.24758632
FAT,7604,6.928064177
FAY,1617,5.405071119
FCA,2120,0.892924528
FLG,1762,5.383654938
FLL,78423,5.23410224
FNT,5032,3.781995231
FSD,5180,9.044015444
FSM,2085,9.581294964
FWA,5602,4.702606212
GCC,982,-2.729124236
GCK,695,4.447482014
GEG,10279,3.139215877
GFK,801,2.280898876
GGG,674,3.637982196
GJT,3140,2.165923567
GNV,2877,7.852276677
GPT,3826,4.45033978
GRB,4732,4.245773457
GRI,667,0.473763118
GRK,3875,5.697806452
GRR,11492,5.399756352
GSO,7072,6.363687783
GSP,7024,4.758542141
GST,74,10.83783784
GTF,2138,-0.108044902
GTR,999,3.680680681
GUC,470,10.59361702
GUM,360,14.56666667
HDN,686,5.702623907
HIB,876,-0.01826484
HLN,1562,-1.313060179
HNL,46691,4.590285066
HOB,592,2.597972973
HOU,51014,4.076802446
HPN,7849,8.465027392
HRL,3303,4.465334544
HSV,4442,4.605583071
HYA,81,3.555555556
HYS,614,-3.529315961
IAD,36693,3.370206851
IAG,335,9.355223881
IAH,143587,5.651242801
ICT,7905,6.61543327
IDA,2430,0.99382716
ILG,95,21.98947368
ILM,2047,4.320468979
IMT,666,-8.166666667
IND,27478,4.307373171
INL,567,-5.409171076
ISN,2716,0.607879234
ISP,4615,8.814301192
ITH,31,4.225806452
ITO,6216,1.098777349
JAC,3597,6.891298304
JAN,6914,5.730546717
JAX,19492,5.2615945
JFK,91587,6.699455163
JLN,696,8.823275862
JMS,829,2.752714113
JNU,4364,2.367323556
KOA,12045,0.128518057
KTN,2476,4.469709208
LAN,1788,4.877516779
LAR,604,-2.331125828
LAS,144788,3.197405862
LAW,1358,6.15832106
LAX,209783,5.424114442
LBB,4881,8.174554395
LBE,1362,10.35682819
LCH,1995,2.097744361
LEX,6378,3.51818752
LFT,5019,5.620043833
LGA,94527,10.396437
LGB,8693,3.453353273
LIH,11388,0.36766772
LIT,10180,6.881434185
LNK,2569,7.842351109
LRD,2332,3.090480274
LSE,1749,1.36535163
LWS,586,-6.544368601
MAF,7285,7.734934798
MBS,1807,5.9839513
MCI,41686,4.716787411
MCO,118568,4.938035558
MDT,3513,4.013094221
MDW,86079,2.350503607
MEI,893,9.599104143
MEM,15969,4.671676373
MFE,3289,6.886591669
MFR,2428,4.737644152
MGM,3425,7.677080292
MHK,1719,3.9168121
MHT,6711,6.487855759
MIA,74242,5.347593007
MKE,31863,3.251953677
MKG,679,6.371134021
MLB,1443,2.186417186
MLI,3936,6.128556911
MLU,3159,6.226654004
MMH,140,8.878571429
MOB,5343,6.930937675
MOT,2029,3.682602267
MQT,322,14.53726708
MRY,2818,5.394251242
MSN,8867,4.097665501
MSO,2226,-0.97574124
MSP,111146,3.37436345
MSY,41976,3.56880122
MTJ,982,8.627291242
MVY,216,1.537037037
MYR,5232,7.166093272
OAJ,1120,10.025
OAK,41686,4.706903997
OGG,22335,2.387508395
OKC,17445,6.512983663
OMA,17986,4.675970199
OME,683,6.026354319
ONT,19544,6.023229636
ORD,303370,6.453324323
ORF,10025,5.576458853
ORH,695,0.463309353
OTH,266,16.7406015
OTZ,698,2.679083095
PAH,684,5.381578947
PBG,294,15.40816327
PBI,23947,6.311187205
PDX,51343,1.288763804
PHF,1354,6.895864106
PHL,70724,4.635724789
PHX,158262,2.611454424
PIA,4501,3.457009553
PIB,612,4.093137255
PIH,707,-0.796322489
PIT,25890,4.281189649
PLN,793,6.360655738
PNS,6412,5.43621335
PPG,107,7.401869159
PSC,2399,4.187578158
PSE,797,9.481806775
PSG,653,7.222052067
PSP,9575,4.067989556
PUB,255,-0.945098039
PVD,11886,5.891216557
PWM,5034,6.439411998
RAP,3441,3.999709387
