des,num,arr_delay,airport,city,state,lat,long
ABE,2455,5.357230143,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404
ABI,2418,3.851943755,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819
ABQ,20764,5.267241379,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919
ABR,728,-3.243131868,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183
ABY,951,8.539432177,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447
ACK,514,5.023346304,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018
ACT,1682,9.576099881,Waco Regional Airport,Waco,TX,31.61129,-97.23052
ACV,1385,9.652707581,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862
ACY,3776,11.28813559,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717
ADK,98,-4.346938776,Adak Airport,Adak,AK,51.87796,-176.64603
ADQ,465,-0.591397849,Kodiak Airport,Kodiak,AK,57.74997,-152.49386
AEX,3333,6.225322532,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856
AGS,2347,6.368129527,Augusta Regional AirportÂ (Bush Field),Augusta,GA,33.36996,-81.9645
AKN,63,2.380952381,King Salmon Airport,King Salmon,AK,58.6768,-156.64922
ALB,8074,5.847039881,Albany International Airport,Albany,NY,42.74812,-73.80298
ALO,641,4.742589704,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034
AMA,4374,6.315500686,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593
ANC,17041,1.628014788,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619
APN,599,0.933222037,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029
ASE,3260,15.82944785,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885
ATL,375622,1.840850642,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694
ATW,3022,3.281932495,Appleton International Airport,Appleton,WI,44.25741,-88.51948
AUS,41445,6.717987695,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987
AVL,2967,6.567913718,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181
AVP,1325,9.797735849,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427
AZO,1863,0.530327429,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206
BDL,20113,5.978968826,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323
BET,963,2.458982347,Bethel Airport,Bethel,AK,60.77978,-161.838
BFL,2770,4.997833935,Meadows Field,Bakersfield,CA,35.4336,-119.05677
BGM,258,4.213178295,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961
BGR,389,2.619537275,Bangor International Airport,Bangor,ME,44.80744,-68.82814
BHM,13450,5.252788104,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355
BIL,3115,1.194542536,Billings Logan International Airport,Billings,MT,45.80766,-108.54286
BIS,3742,4.034206307,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672
BJI,727,-1.741403026,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372
BLI,703,-6.80227596,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753
BMI,2631,7.235651843,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595
BNA,50936,3.873959479,Nashville International Airport,Nashville,TN,36.12448,-86.67818
BOI,11529,5.956457629,Boise AirportÂ (Boise Air Terminal),Boise,ID,43.56444,-116.22278
BOS,105052,6.250618741,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518
BPT,915,14.63169399,Jack Brooks Regional AirportÂ (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069
BQK,953,6.036726128,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631
BQN,1328,12.19277108,Rafael HernÃ¡ndez Airport,Aguadilla,PR,18.49486,-67.12944
BRD,636,-3.849056604,Brainerd Lakes Regional Airport,Brainerd,MN,46.39786,-94.13723
BRO,2266,4.471315093,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586
BRW,819,4.058608059,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766
BTM,701,-4.109843081,Bert Mooney Airport,Butte,MT,45.9548,-112.49746
BTR,6993,9.055770056,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963
BTV,3251,8.385727468,Burlington International Airport,Burlington,VT,44.473,-73.15031
BUF,18094,4.886481707,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217
BUR,18571,4.592321361,Bob Hope AirportÂ (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585
BWI,84272,3.602833681,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682
BZN,3564,2.716891134,Bozeman Yellowstone International AirportÂ (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301
CAE,5462,8.798242402,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954
CAK,6475,4.787644788,Akron-Canton Regional Airport,Akron,OH,40.91631,-81.44247
CDC,623,6.972712681,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858
CDV,654,0.888379205,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183,-145.47765
CEC,175,4.28,Del Norte County AirportÂ (Jack McNamara Field),Crescent City,CA,41.78016,-124.23653
CHA,4135,6.227811366,Chattanooga Metropolitan AirportÂ (Lovell Field),Chattanooga,TN,35.03527,-85.20379
CHO,2111,10.73235433,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286
CHS,11594,4.037001898,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051
CID,7142,6.763651638,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087
CIU,653,4.736600306,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239
CLD,626,4.39456869,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873
CLE,33833,4.571276564,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494
CLL,2198,1.60600546,Easterwood Airport,College Station,TX,30.58859,-96.36382
CLT,108365,1.72342546,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313
CMH,25826,4.563772942,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188
CMI,2001,3.663168416,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806
CMX,674,3.488130564,Houghton County Memorial Airport,Hancock,MI,47.16842,-88.48906
CNY,205,-11.57560976,Canyonlands Field,Moab,UT,38.75496,-109.75484
COD,674,3.918397626,Yellowstone Regional Airport,Cody,WY,44.52019,-109.0238
COS,7348,9.644529124,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025
COU,1377,9.338416848,Columbia Regional Airport,Columbia,MO,38.81809,-92.21963
CPR,1747,-0.833428735,Natrona County International Airport,Casper,WY,42.90836,-106.46447
CRP,5071,8.797278643,Corpus Christi International Airport,Corpus Christi,TX,27.77036,-97.50122
CRW,2543,7.338969721,Yeager Airport,Charleston,WV,38.37315,-81.59319
CSG,1059,8.419263456,Columbus Metropolitan Airport,Columbus,GA,32.51633,-84.93886
CVG,21466,5.523898258,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217
CWA,1504,7.169547872,Central Wisconsin Airport,Mosinee,WI,44.77762,-89.66678
DAB,1608,1.422885572,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806
DAL,64428,3.850375613,Dallas Love Field,Dallas,TX,32.84711,-96.85177
DAY,8383,5.633424788,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938
DBQ,953,2.547743966,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917
DCA,78365,3.62141262,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772
