MONTH,ORIGIN_AIRPORT,AIRLINE,ARRIVAL_DELAY,COUNT
January,ABE,Delta Air Lines Inc.,-5.086956522,24
January,ABE,Atlantic Southeast Airlines,4.360294118,140
January,ABI,American Eagle Airlines Inc.,7.071111111,239
January,ABQ,American Airlines Inc.,9.308943089,124
January,ABQ,Alaska Airlines Inc.,-6.129032258,31
January,ABQ,JetBlue Airways,12,21
January,ABQ,Delta Air Lines Inc.,7.507462687,67
January,ABQ,Atlantic Southeast Airlines,12.53333333,90
January,ABQ,American Eagle Airlines Inc.,64.7037037,28
January,ABQ,Skywest Airlines Inc.,-0.142857143,253
January,ABQ,Southwest Airlines Co.,6.323221757,960
January,ABR,Skywest Airlines Inc.,23.58333333,62
January,ABY,Atlantic Southeast Airlines,2.291139241,81
January,ACT,American Eagle Airlines Inc.,8.295774648,147
January,ACV,Skywest Airlines Inc.,22.23972603,150
January,ACY,Spirit Air Lines,0.997005988,341
January,ADK,Alaska Airlines Inc.,-3,9
January,ADQ,Alaska Airlines Inc.,-7.310344828,30
January,AEX,Atlantic Southeast Airlines,7.650793651,189
January,AEX,American Eagle Airlines Inc.,6.152173913,93
January,AGS,Delta Air Lines Inc.,-3.026315789,38
January,AGS,Atlantic Southeast Airlines,13.02469136,162
January,ALB,Delta Air Lines Inc.,0.627118644,61
January,ALB,Atlantic Southeast Airlines,1.054054054,38
January,ALB,Skywest Airlines Inc.,87,7
January,ALB,United Air Lines Inc.,7.92,52
January,ALB,US Airways Inc.,-2.967741935,62
January,ALB,Southwest Airlines Co.,-0.804216867,349
January,ALO,American Eagle Airlines Inc.,20.81632653,58
January,AMA,Atlantic Southeast Airlines,8.345132743,115
January,AMA,American Eagle Airlines Inc.,14.73451327,241
January,AMA,Skywest Airlines Inc.,26.14285714,22
January,AMA,Southwest Airlines Co.,2.048275862,147
January,ANC,Alaska Airlines Inc.,-3.708757637,1002
January,ANC,Delta Air Lines Inc.,-13.86206897,116
January,ANC,United Air Lines Inc.,11.90243902,41
January,ANC,US Airways Inc.,-9.24,25
January,APN,Skywest Airlines Inc.,21.51020408,53
January,ASE,American Eagle Airlines Inc.,34.07058824,93
January,ASE,Skywest Airlines Inc.,14.10139165,533
January,ATL,American Airlines Inc.,4.803030303,397
January,ATL,Alaska Airlines Inc.,0.774193548,31
January,ATL,Delta Air Lines Inc.,-1.731347333,18542
January,ATL,Atlantic Southeast Airlines,7.352033931,5257
January,ATL,Frontier Airlines Inc.,20.29891304,188
January,ATL,American Eagle Airlines Inc.,30.50847458,133
January,ATL,Spirit Air Lines,9.451219512,248
January,ATL,Skywest Airlines Inc.,19.41471572,309
January,ATL,United Air Lines Inc.,3.681372549,219
January,ATL,US Airways Inc.,-2.15,513
January,ATL,Southwest Airlines Co.,2.288370802,3675
January,ATW,Delta Air Lines Inc.,-11.57894737,38
January,ATW,Atlantic Southeast Airlines,16.94366197,146
January,ATW,Skywest Airlines Inc.,8.547619048,42
January,AUS,American Airlines Inc.,2.528391167,654
January,AUS,Alaska Airlines Inc.,-9.967741935,31
January,AUS,JetBlue Airways,2.774193548,190
January,AUS,Delta Air Lines Inc.,-0.003875969,261
January,AUS,Atlantic Southeast Airlines,4.109090909,55
January,AUS,Frontier Airlines Inc.,14.1509434,53
January,AUS,Skywest Airlines Inc.,8.160784314,258
January,AUS,United Air Lines Inc.,5.888888889,287
January,AUS,US Airways Inc.,12.04347826,73
January,AUS,Virgin America,-12.44642857,56
January,AUS,Southwest Airlines Co.,1.245833333,1458
January,AVL,Delta Air Lines Inc.,-6.266666667,61
January,AVL,Atlantic Southeast Airlines,-3.410714286,112
January,AVL,Skywest Airlines Inc.,16.36363636,34
January,AVP,Delta Air Lines Inc.,-15,5
January,AVP,Atlantic Southeast Airlines,6.8,112
January,AZO,Atlantic Southeast Airlines,19.33870968,65
January,AZO,American Eagle Airlines Inc.,16.00943396,118
January,AZO,Skywest Airlines Inc.,3.708333333,28
January,BDL,American Airlines Inc.,14.13793103,94
January,BDL,JetBlue Airways,9.174917492,326
January,BDL,Delta Air Lines Inc.,-1.388278388,286
January,BDL,Atlantic Southeast Airlines,9.956521739,173
January,BDL,American Eagle Airlines Inc.,14.23076923,31
January,BDL,Skywest Airlines Inc.,15,7
January,BDL,United Air Lines Inc.,7.724637681,72
January,BDL,US Airways Inc.,3.724409449,133
January,BDL,Southwest Airlines Co.,-0.865384615,558
January,BET,Alaska Airlines Inc.,-0.7875,82
January,BFL,Skywest Airlines Inc.,10.84888889,231
January,BHM,American Airlines Inc.,33.94827586,58
January,BHM,Delta Air Lines Inc.,-0.26446281,242
January,BHM,Atlantic Southeast Airlines,8.663430421,319
January,BHM,American Eagle Airlines Inc.,1,93
January,BHM,Skywest Airlines Inc.,5.147058824,36
January,BHM,Southwest Airlines Co.,2.371212121,398
January,BIL,Delta Air Lines Inc.,-10.83823529,68
January,BIL,Atlantic Southeast Airlines,,2
